I.D.	Sex	Birth Season	Left-Ear	Right-Ear	Earnotches	New Group	Notes
1K0	F	2010	101	100	101-100	NN	Twin with 1K5
1K1	F	2010	101	010	101-010	V	
1K2	F	2010	101	001	101-001	V	
1K3	F	2010	100	101	100-101	HH	
1K5	F	2010	001	101	001-101	NN	Twin with 1K0
1K8	F	2010	001	001	001-001	S	
1K9	M	2011	000	100	000-100	V	
2K0	M	2011	000	010	000-010	V	
2K1	F	2011	000	001	000-001	V	
2K2	M	2011	100	000	100-000	V	
2K3	M	2011	010	000	010-000	V	
2K4	M	2011	001	000	001-000	V	
2K5	M	2011	000	110	000-110	V	
2K6	M	2011	000	011	000-011	V	
2K7	F	2011	110	000	110-000	V	
2K9	M	2011	010	100	010-100	R	
3K1	M	2011	100	010	100-010	NN	
3K4	M	2011	100	110	100-110	F	
3K6	M	2011	100	011	100-011	F	
4K0	F	2011	101	001	101-001	R	
4K2	M	2011	010	101	010-101	F	
4K3	M	2011	001	101	001-101	F	
4K4	F	2011	101	111	101-111	R	
4K6	M	2011	001	001	001-001	F	
4K7	M	2011	011	110	011-110	OO	
5K0	M	2011	011	011	011-011	NN	
5K1	F	2011	110	101	110-101	F	
5K2	F	2011	011	101	011-101	F	
5K3	F	2011	101	110	101-110	F	
5K4	F	2011	101	011	101-011	F	
5K5	M	2011	101	101	101-101	F	
5K6	M	2011	010	011	010-011	F	
5K7	F	2011	001	011	001-011	F	
5K8	M	2011	011	010	011-010	MM	
5K9	F	2011	011	001	011-001	MM	
6K0	M	2011	110	001	110-001	MM	
6K1	F	2011	001	110	001-110	MM	
6K2	M	2011	110	010	110-010	MM	
6K3	M	2011	010	110	010-110	MM	
6K4	M	2011	111	100	111-100	MM	
6K5	M	2011	111	010	111-010	MM	
6K6	F	2011	111	001	111-001	KK	
6K7	F	2011	100	111	100-111	R	
6K8	F	2011	010	111	010-111	R	
6K9	F	2011	001	111	001-111	R	
7K0	M	2011	110	111	110-111	R	
7K1	F	2011	011	111	011-111	R	
7K4	M	2011	111	111	111-111	OO	
7K5	F	2011	111	101	111-101	KK	
7K6	F	2011	111	000	111-000	V	
7K7	M	2011	000	111	000-111	V	
7K8	F	2011	010	001	010-001	V	
7K9	M	2011	001	010	001-010	V	
8K0	M	2011	000	100	000-100	V	
8K1	M	2011	000	010	000-010	KK	
8K2	M	2011	000	001	000-001	HH	
8K3	F	2011	100	000	100-000	KK	
8K4	F	2011	010	000	010-000	HH	
8K5	F	2011	001	000	001-000	S	
8K6	M	2011	000	110	000-110	R	
8K7	F	2011	000	011	000-011	HH	
8K8	M	2011	110	000	110-000	HH	
8K9	M	2011	011	000	011-000	R	
9K0	F	2011	010	100	010-100	MM	
9K1	F	2011	001	100	001-100	S	
9K2	M	2011	100	010	100-010	R	
9K3	M	2011	100	001	100-001	S	
9K4	M	2011	110	100	110-100	F	
9K5	M	2011	100	110	100-110	S	
9K6	F	2011	011	100	011-100	S	
9K7	M	2011	100	011	100-011	MM	
9K9	M	2011	101	100	101-100	S	
0L0	M	2011	101	010	101-010	R	
0L1	M	2011	101	001	101-001	R	
0L2	F	2011	100	101	100-101	R	
0L3	M	2011	010	101	010-101	F	
0L4	M	2011	001	101	001-101	R	
0L5	M	2011	101	111	101-111	S	
0L7	F	2011	001	001	001-001	R	
0L8	F	2011	011	110	011-110	S	
0L9	F	2011	110	011	110-011	S	
1L0	M	2011	110	110	110-110	S	
1L1	F	2011	011	011	011-011	KK	
1L2	F	2011	110	101	110-101	F	
1L4	F	2011	101	110	101-110	F	
1L5	F	2011	101	011	101-011	F	
1L6	F	2011	101	101	101-101	S	
1L7	F	2011	010	011	010-011	R	
1L8	F	2011	001	011	001-011	HH	
1L9	M	2011	011	010	011-010	HH	
2L0	M	2011	011	001	011-001	KK	
2L5	F	2011	111	100	111-100	OO	
2L6	M	2011	111	010	111-010	F	
2L8	F	2011	100	111	100-111	F	
2L9	F	2011	010	111	010-111	F	
3L0	M	2011	001	111	001-111	F	
3L1	M	2011	110	111	110-111	F	
3L2	M	2011	011	111	011-111	KK	
3L3	M	2011	111	110	111-110	KK	
3L4	M	2011	111	011	111-011	KK	
3L5	M	2011	111	111	111-111	HH	
3L6	M	2011	111	101	111-101	HH	
3L7	M	2011	111	000	111-000	HH	
3L9	F	2011	010	001	010-001	S	
4L0	F	2011	001	010	001-010	R	
4L1	M	2011	000	100	000-100	HH	
4L2	M	2011	000	010	000-010	R	
4L5	F	2011	010	000	010-000	R	
4L6	M	2011	001	000	001-000	R	
4L7	M	2011	000	110	000-110	R	
4L8	F	2011	000	011	000-011	HH	
4L9	M	2011	110	000	110-000	R	
5L0	M	2011	011	000	011-000	R	
5L1	M	2011	010	100	010-100	S	
5L2	M	2011	001	100	001-100	R	
5L3	M	2011	100	010	100-010	S	
5L4	M	2011	100	001	100-001	S	
5L5	F	2011	110	100	110-100	R	
5L6	F	2011	100	110	100-110	R	
5L7	F	2011	011	100	011-100	V	
5L8	F	2011	100	011	100-011	V	
5L9	M	2011	100	100	100-100	KK	
6L1	F	2011	101	010	101-010	KK	
6L3	M	2011	100	101	100-101	KK	
6L4	M	2011	010	101	010-101	KK	
6L5	F	2011	001	101	001-101	KK	
6L8	M	2011	001	001	001-001	S	
7L0	F	2011	110	011	110-011	HH	
7L1	F	2011	110	110	110-110	R	
7L2	F	2011	011	011	011-011	F	
7L4	F	2011	011	101	011-101	HH	
7L6	M	2011	101	011	101-011	HH	
7L7	F	2011	101	101	101-101	HH	
7L8	M	2011	010	011	010-011	V	
7L9	M	2011	001	011	001-011	V	
8L3	F	2011	001	110	001-110	KK	
8L5	M	2011	010	110	010-110	HH	
8L6	M	2011	111	100	111-100	KK	
8L7	F	2011	111	010	111-010	KK	
8L8	F	2011	111	001	111-001	R	
9L0	F	2011	010	111	010-111	R	
9L2	M	2011	110	111	110-111	KK	
9L5	M	2011	111	011	111-011	V	
9L6	F	2011	111	111	111-111	S	
9L7	F	2011	111	101	111-101	R	
9L9	F	2011	000	111	000-111	KK	
0M0	F	2011	010	001	010-001	V	
0M1	M	2011	001	010	001-010	V	
0M2	F	2011	000	100	000-100	HH	
0M3	F	2011	000	010	000-010	V	
0M4	F	2011	000	001	000-001	V	
0M5	F	2012	000	100	000-100	R	
0M6	F	2012	000	010	000-010	KK	
0M7	M	2012	000	001	000-001	KK	
0M8	M	2012	100	000	100-000	KK	
0M9	M	2012	010	000	010-000	S	
1M0	F	2012	001	000	001-000	R	
1M1	M	2012	000	110	000-110	R	
1M2	M	2012	000	011	000-011	R	
1M3	M	2012	110	000	110-000	R	
1M4	F	2012	011	000	011-000	R	
1M5	F	2012	010	100	010-100	R	
1M6	M	2012	001	100	001-100	KK	
1M7	M	2012	100	010	100-010	R	
1M8	M	2012	100	001	100-001	KK	
1M9	M	2012	110	100	110-100	R	
2M0	F	2012	100	110	100-110	R	
2M1	F	2012	011	100	011-100	R	
2M2	F	2012	100	011	100-011	KK	
2M3	M	2012	100	100	100-100	KK	
2M4	M	2012	101	100	101-100	R	
2M5	M	2012	101	010	101-010	R	
2M6	F	2012	101	001	101-001	R	
2M7	F	2012	100	101	100-101	KK	
2M8	M	2012	010	101	010-101	R	
2M9	M	2012	001	101	001-101	R	
3M0	F	2012	101	111	101-111	R	
3M1	F	2012	010	010	010-010	KK	
3M2	M	2012	001	001	001-001	KK	
3M3	M	2012	011	110	011-110	KK	
3M4	F	2012	110	011	110-011	R	
3M5	F	2012	110	110	110-110	R	
3M6	F	2012	011	011	011-011	KK	
3M7	F	2012	110	101	110-101	R	
3M8	M	2012	011	101	011-101	R	
3M9	M	2012	101	110	101-110	R	
4M0	M	2012	101	011	101-011	R	
4M1	M	2012	101	101	101-101	R	
4M2	F	2012	010	011	010-011	R	
4M3	M	2012	001	011	001-011	R	
4M4	F	2012	011	010	011-010	KK	
4M5	F	2012	011	001	011-001	R	
4M6	F	2012	110	001	110-001	R	
4M7	F	2012	001	110	001-110	R	
4M8	M	2012	110	010	110-010	R	
4M9	F	2012	010	110	010-110	KK	
5M0	M	2012	111	100	111-100	KK	
5M1	F	2012	111	010	111-010	R	
5M2	F	2012	111	001	111-001	KK	
5M3	F	2012	100	111	100-111	R	
5M4	M	2012	010	111	010-111	R	
5M5	F	2012	001	111	001-111	KK	
5M6	F	2012	110	111	110-111	R	
5M7	F	2012	011	111	011-111	R	
5M8	M	2012	111	110	111-110	R	
5M9	F	2012	111	011	111-011	R	
6M0	M	2012	111	111	111-111	R	
6M1	M	2012	111	101	111-101	R	
6M2	M	2012	111	000	111-000	R	
6M3	M	2012	000	111	000-111	R	
6M4	M	2012	010	001	010-001	R	
6M5	M	2012	001	010	001-010	R	
6M6	F	2012	000	100	000-100	R	
6M7	F	2012	000	010	000-010	KK	
6M8	M	2012	000	001	000-001	S	
6M9	F	2012	100	000	100-000	S	
7M0	F	2012	010	000	010-000	R	
7M2	F	2012	000	110	000-110	S	
7M3	M	2012	000	011	000-011	S	
7M4	M	2012	110	000	110-000	S	
7M5	F	2012	011	000	011-000	S	
7M6	F	2012	010	100	010-100	R	
7M7	M	2012	001	100	001-100	S	
7M8	M	2012	100	010	100-010	S	
7M9	F	2012	100	001	100-001	R	
8M0	F	2012	110	100	110-100	S	
8M1	M	2012	100	110	100-110	R	
8M2	F	2012	011	100	011-100	S	
8M3	F	2012	100	011	100-011	S	
8M4	F	2012	100	100	100-100	S	
8M5	M	2012	101	100	101-100	S	
8M6	F	2012	101	010	101-010	S	
8M7	F	2012	101	001	101-001	R	
8M8	F	2012	100	101	100-101	F	
8M9	M	2012	010	101	010-101	F	
9M0	F	2012	001	101	001-101	F	
9M1	F	2012	101	111	101-111	F	
9M2	M	2012	010	010	010-010	F	
9M3	F	2012	001	001	001-001	F	
9M4	F	2012	011	110	011-110	F	
9M5	M	2012	110	011	110-011	F	
9M6	F	2012	110	110	110-110	F	
9M7	F	2012	011	011	011-011	V	
9M8	F	2012	110	101	110-101	V	
9M9	F	2012	011	101	011-101	V	
0N0	M	2012	101	110	101-110	V	
0N1	M	2012	101	011	101-011	V	
0N2	F	2012	101	101	101-101	V	
0N3	F	2012	010	011	010-011	V	
0N4	F	2012	001	011	001-011	V	
0N5	M	2012	011	010	011-010	V	
0N6	M	2012	011	001	011-001	V	
0N7	F	2012	110	001	110-001	V	
0N8	M	2012	001	110	001-110	V	
0N9	M	2012	110	010	110-010	F	
1N0	F	2012	010	110	010-110	V	
1N1	M	2012	111	100	111-100	V	
1N2	F	2012	111	010	111-010	F	
1N3	M	2012	111	001	111-001	F	
1N4	F	2012	100	111	100-111	V	
1N5	F	2012	010	111	010-111	F	
1N6	M	2012	001	111	001-111	F	
1N7	M	2012	110	111	110-111	F	
1N8	F	2012	011	111	011-111	F	
1N9	F	2012	111	110	111-110	F	
2N0	M	2012	111	011	111-011	F	
2N1	M	2012	111	111	111-111	F	
2N2	M	2012	111	101	111-101	F	blonde
2N3	M	2012	111	000	111-000	F	
2N4	M	2012	000	111	000-111	F	
2N5	M	2012	010	001	010-001	F	
2N6	F	2012	001	010	001-010	F	
2N7	M	2012	000	100	000-100	F	
2N8	M	2012	000	010	000-010	F	
2N9	M	2012	000	001	000-001	S	
3N0	M	2012	100	000	100-000	R	
3N1	F	2012	010	000	010-000	R	
3N2	M	2012	001	000	001-000	HH	
3N3	F	2012	000	110	000-110	HH	
3N4	F	2012	000	011	000-011	HH	
3N5	M	2012	110	000	110-000	HH	
3N6	M	2012	011	000	011-000	MM	
3N7	M	2012	010	100	010-100	HH	
3N8	F	2012	001	100	001-100	HH	
3N9	M	2012	100	010	100-010	HH	
4N0	M	2012	100	001	100-001	HH	
4N1	F	2012	110	100	110-100	MM	
4N2	F	2012	100	110	100-110	HH	
4N3	M	2012	011	100	011-100	HH	
4N4	M	2012	100	011	100-011	HH	
4N5	F	2012	100	100	100-100	HH	
4N6	F	2012	101	100	101-100	MM	
4N7	M	2012	101	010	101-010	HH	
4N8	M	2012	101	001	101-001	HH	
4N9	M	2012	100	101	100-101	KK	
5N0	F	2012	010	101	010-101	HH	
5N1	F	2012	001	101	001-101	HH	
5N2	M	2012	101	111	101-111	HH	
5N3	F	2012	010	010	010-010	V	
5N4	F	2012	001	001	001-001	V	
5N5	M	2012	011	110	011-110	V	
5N6	F	2012	110	011	110-011	V	
5N7	F	2012	110	110	110-110	V	
5N8	F	2012	011	011	011-011	V	
5N9	M	2012	110	101	110-101	R	
6N0	M	2012	011	101	011-101	R	
6N1	M	2012	101	110	101-110	F	
6N2	M	2012	101	011	101-011	F	
6N3	M	2012	101	101	101-101	F	
6N4	F	2012	010	011	010-011	HH	
6N5	F	2012	001	011	001-011	F	
6N6	F	2012	011	011	011-011	F	
6N7	M	2012	011	001	011-001	F	
6N8	F	2012	110	001	110-001	F	
6N9	M	2012	001	110	001-110	F	
7N0	F	2012	110	010	110-010	F	blonde
7N1	F	2012	010	110	010-110	F	
7N2	M	2012	110	100	110-100	MM	
7N3	F	2012	111	010	111-010	V	
7N4	M	2012	111	001	111-001	V	
7N5	F	2012	100	111	100-111	V	
7N6	F	2012	010	111	010-111	F	
7N7	F	2012	001	111	001-111	F	
7N8	F	2012	110	111	110-111	F	
7N9	F	2012	011	111	011-111	F	
8N0	F	2012	111	110	111-110	F	
8N1	F	2012	111	011	111-011	F	
8N2	M	2012	111	111	111-111	V	
8N3	F	2012	111	101	111-101	V	
8N4	F	2012	111	000	111-000	F	
8N5	M	2012	000	111	000-111	F	
8N6	F	2012	010	001	010-001	F	
8N7	F	2012	001	010	001-010	F	
8N8	F	2012	000	100	000-100	F	
8N9	F	2012	000	010	000-010	OO	
9N0	F	2012	000	001	000-001	HH	
9N1	F	2012	100	000	100-000	F	
9N2	F	2012	010	000	010-000	V	
9N3	F	2012	001	000	001-000	F	
9N4	F	2012	000	110	000-110	F	
9N5	F	2012	000	011	000-011	F	
9N6	F	2012	110	000	110-000	KK	
9N7	F	2012	011	000	011-000	F	
9N8	M	2012	010	100	010-100	F	
9N9	M	2012	001	100	001-100	F	
